why is love intensified by absence? | love, yearning
you need just the right amount of 'fuck the world' and the right amount of belief in something...and you need the right amount of love. | inspirational, life, love
love is like a friendship caught on fire. in the beginning a flame, very pretty, often hot and fierce, but still only light and flickering. as love grows older, our hearts mature and our love becomes as coals, deep-burning and unquenchable. | fierce, forever-love, love, undying-love
she was bendable light: she shone around every corner of my day. | light, love
this is not a goodbye, my darling, this is a thank you. thank you for coming into my life and giving me joy, thank you for loving me and receiving my love in return. thank you for the memories i will cherish forever. but most of all, thank you for showing me that there will come a time when i can eventually let you go.i love you, t. | lost-love, love
lift your hips for me, love. | finally, god, juliette, love, sex, sexy, want, warner
buy a gift for a dog, and you'll be amazed at the way it will dance and swerve its tail, but if don't have anything to offer to it, it won't even recognize your arrival; such are the attributes of fake friends. | attraction, bad, bad-people, bait, cheat, cheaters, cheating, corrosive, devil, devilish, dog, dogs, evil, fake-friends, false-colour, fools, gift, hate, haters, hatred, love, michael-bassey-johnson, negative, negative-people, negativity, pretence, pretension, sycophants, trick, trickish, tricky, wolves
what i was trying to say,” he whispered, “is that i see you in everything. there isn’t a word for you that means enough, because you’re everything to me. | aria, into-the-still-blue, itsb, love, peregrine, peria, perry
all too often women believe it is a sign of commitment, an expression of love, to endure unkindness or cruelty, to forgive and forget. in actuality, when we love rightly we know that the healthy, loving response to cruelty and abuse is putting ourselves out of harm's way. | abuse, commitment, curelty, endurance, forgiveness, harm, health, love, relationship, unkindness
with you, intimacy colours my voice.even ‘hello’ sounds like ‘come here'. | love
(what are your ghosts like?)(they are on the insides of the lids of my eyes.)(this is also where my ghosts reside.)(you have ghosts?)(of course i have ghosts.)(but you are a child.)(i am not a child.)(but you have not known love.)(these are my ghosts, the spaces amid love.) | love
love is where you find it. i think it is foolish to go around looking for it, and i think it can be poisonous. i wish that people who are conventionally supposed to love each other would say to each other, when they fight, 'please — a little less love, and a little more common decency'. | decency, humor, love, respect
i am as wrapped up in her as a vine that clings to a tree seeking for sustenance. she’s tied me to her for eternity. she’s my home. she’s my reason for being. to win and hold her heart is my only purpose. | love, romance
there’s something about arriving in new cities, wandering empty streets with no destination. i will never lose the love for the arriving, but i'm born to leave. | arriving, cities, city, destination, empty, home, leave, leaving, left, lose, love, new, streets, touring, travel, traveller, travelling, vagabond, wanderer, wanderlust
i don't care if you say we can't be together. i don't care if you think i'm the most evil, unnatural creature walking on earth. you can think whatever you want, go whatever you want. i'm going to just go on loving you, even if it's hopeless. | adrian-ivashkov, love
one more secret smile. one more shared laugh. one more electric kiss. finding him was like finding someone i didn't know i was searching for. | love, nora, patch, search
 i will give you this, my love, and i will not bargain or barter any longer. i will love you, as sure as he has loved me. i will discover what i can discover and though you remain a mystery, save god's own knowledge, what i disclose of you i will keep in the warmest chamber of my heart, the very chamber where god has stowed himself in me. and i will do this to my death, and to death it may bring me. i will love you like god, because of god, mighted by the power of god. i will stop expecting your love, demanding you love, trading for your love, gaming for your love. i will simply love. i am giving myself to you, and tomorrow i will do it again. i suppose the clock itself will wear thin its time before i am ended at this altar of dying and dying again. god risked himself on me. i will risk myself on you. and together, we will learn to love, and perhaps then, and only then, understand this gravity that drew him, unto us. | love
"you asked why i couldn't forgive you,"" nick said, very quietly, and i jumped a little. ""it was because you were the love of my life, harper. and you didn't want to be. that's hard to let go. | breakup, couples, divorce, love, sad"
i told him i was going to betray you, and betray lyra, and he believed me because i was corrupt and full of wickedness; he looked so deep i felt sure he'd see the truth. but i lied too well. i was lying with every nerve and fiber and everything i'd ever done...i wanted him to find no good in me, and he didn't. there is none. | evil, good, lies, love, mrs-coulter, truth
of all forms of caution, caution in love is perhaps the most fatal to true happiness. | happiness, love
"flipping to the front, i caught aiden's gaze and offered a sympathetic smile.""skittles?""""please.""i dumped some into his open palm, then picked out the green ones. aiden grinned at me.""you know i don't like the green ones?""shrugging, i popped them in my mouth. ""the few times i've seen you eat them, you leave the green ones behind.""deacon popped his head between our seats.""that's true love right there.""""that it is.""aiden's gaze flicked to the road. i flushed like a little schoolgirl and focused on the remaining pieces of candy until deacon drifted back into his seat. i handed all the red ones to aiden. | cute, love, sweet"
there is no love sincerer than the love of food. | food, gluttony, love
what if i were smiling and running into your arms? would you see then what i see now? | love
the story of life is quicker than the wink of an eye, the story of love is hello and goodbye...until we meet again | eye, goodbye, hello, life, love, song-lyrics
when you miss someone....it’s weird…your body doesn’t function normally..as it should. because i miss you, and my heart…it’s not steady…my soul it sings numb. fingers are cold…like you…your soul. | cold-soul, heart, jamie-weise, love, lovers, missing, missing-you, passion
when he died, all things soft and beautiful and bright would be buried with him. | death, death-of-a-loved-one, love
when you love someone, you say their name different. like it's safe inside your mouth. | love
the only thing more unthinkable than leaving was staying the only thing more impossible than stayin the only thing more impossible than staying was leaving.g was leaving. | eat, elizabeth-gilbert, love, pray
i think you can only be truly mad at someone you really love. | love, madly-in-love, true-love
but even when i stop crying, even when we fall asleep and i'm nestled in his arms, this will leave another scar. no one will see it. no one will know. but it will be there. and eventually all of the scars will have scars, and that's all i'll be--one big scar of a love gone wrong. | abuse, hurt, love, teen, ya, young-adult
i'm not sure this is a world i belong in anymore. i'm not sure that i want to wake up. | lost, love
all my heart is yours, sir: it belongs to you; and with you it would remain, were fate to exile the rest of me from your presence forever. | love, poetry
we are bound together, emma, bound together—i breathe when you breathe, i bleed when you bleed, i’m yours and you’re mine, you’ve always been mine, and i have always, always belonged to you! | emma-carstairs, julian-blackthorn, love, parabatai
vulnerability is the birthplace of love, belonging, joy, courage, empathy, and creativity. it is the source of hope, empathy, accountability, and authenticity. if we want greater clarity in our purpose or deeper and more meaningful spiritual lives, vulnerability is the path. | accountability, authenticity, belonging, courage, creativity, empathy, joy, love, meaning, purpose, spirituality, vulnerability
"and now,"" eric yelled into his mircophone, ""we're going to sing a new song-one we just wrote. this one's for my girlfriend. we've been going out for three weeks, and, damn, our love is true. we're gonna be together forever, baby. this one's called 'bang you like a drum. | city-of-fallen-angels, crazy, eric, funny, humor, love, teen, teenage-love"
how sad and bad and mad it was - but then, how it was sweet | love, nostalgia, reflection, the-past
love must not entreat,' she added, 'or demand. love must have the strength to become certain within itself. then it ceases merely to be attracted and begins to attract. | attraction, love, strength
i love, because my love is not dependent on the object of love. my love is dependent on my state of being. so whether the other person changes, becomes different, friend turns into a foe, does not matter, because my love was never dependent on the other person. my love is my state of being. i simply love. | being, love, self-awareness
you are the answer to every prayer i've offered. you are a song, a dream, a whisper, and i don't know how i could have lived without you for as long as i have. | love
woman is sacred the woman one loves is holy. | love, women, worship
"i think ... i should go home soon. mom and luke are probably going nuts. what about you?""he shrugged, a casual lift of one shoulder. ""you tell me. when i left nevernever, i didn't have any plans other than being with you. if you want me around, just say the word. | faeries, love, meghan-chase"
you asked me to go out with you. i know you probably changed your mind. but you should know, the answer was yes. it's always been yes when it comes to you. | love
and yes, i’ll admit, i am jealous. i’m jealous of every minute you spend with him, of every concerned expression you send his way, of every tear shed, of every glance, every touch, and every thought. i want to rip him to pieces and purge him from your mind and from your heart. but i can’t. | jealousy, love, romance
"it should be a privilege to be able to say ""i love you"" to someone. it shouldn't be something people say just because they feel like it. a privilege that is earned. they say you have to earn the right to be loved; no, love is unconditional, if you love someone, they don't have to earn it. but. the right to tell someone that you love them? that has to be earned. you have to earn the right to be believed. | inspirational-love, inspirational-quotes, love, real-love, unconditional-love"
last night i wept. i wept because the process by which i have become woman was painful. i wept because i was no longer a child with a child's blind faith. i wept because my eyes were opened to reality....i wept because i could not believe anymore and i love to believe. i can still love passionately without believing. that means i love humanly. i wept because i have lost my pain and i am not yet accustomed to its absence. | love, pain, reality
i don't trust people who don't love themselves and tell me, 'i love you.' ... there is an african saying which is: be careful when a naked person offers you a shirt. | 1997, annie-clark-tanner-lecture, inspirational, love, trust
i'm gonna fight for you, until your heart stops beating. | devotion, love, promise
long distance is hard. you have to trust that as you each change on your own, your relationship will also change along with you. it takes hope, good humor, and idealism. it takes a massive dose of courage to protect the relationship at all odds. it is hard, but worth it. you'll both be stronger as a result. | hope, love
promise me you’ll marry me. not now. someday. because i need to know.”claire felt a flutter inside, like a bird trying to fly, and a rush of heat that made her dizzy. and something else, something fragile as a soap bubble,and just as beautiful. joy, in the middle of all this horror and heartbreak.“yes,” she whispered back. “i promise.”and she kissed him, and kissed him, and kissed him, while the sun came up and bathed morganville in one last, shining day. | claire-danvers, end, love, shane-collins
the fear of death follows from the fear of life. a man who lives fully is prepared to die at any time. | death, life
you can build walls all the way to the sky and i will find a way to fly above them. you can try to pin me down with a hundred thousand arms, but i will find a way to resist. and there are many of us out there, more than you think. people who refuse to stop believing. people who refuse to come to earth. people who love in a world without walls, people who love into hate, into refusal, against hope, and without fear.i love you. remember. they cannot take it. | courage, love, resistance, strength
afterward, i had the last laugh. i made an air bubble at the bottom of the lake. our friends kept waiting for us to come up, but hey-when you are the son of poseidon, you don't have to hurry. and it was pretty much the best underwater kiss of all time. | cute, isaiat, kiss, love, mart, percy-jackson, underwater
if someone were to harm my family or a friend or somebody i love, i would eat them. i might end up in jail for 500 years, but i would eat them. | humour, love
love is needing someone. love is putting up with someone's bad qualities because they somehow complete you. | love
love consists of not looking each other in the eye, but of looking outwardly in the same direction. | love
"i love you"" i say.""i love you, too"" he says. ""i'll see you soon. | four, love, tris"
for one human being to love another human being: that is perhaps the most difficult task that has been given to us, the ultimate, the final problem and proof, the work for which all other work is merely preparation. | love
love like rain, can nourish from above, drenching couples with a soaking joy. but sometimes under the angry heat of life, love dries on the surface and must nourish from below, tending to its roots keeping itself alive. | forgiveness, love, rain
love is not a habit, a commitment, or a debt. it isn't what romantic songs tell us it is - love simply is. | love
darkness cannot drive out darkness: only light can do that. hate cannot drive out hate: only love can do that. | darkness, drive-out, hate, inspirational, light, love, peace
if only it were possible to love without injury – fidelity isn’t enough: i had been faithful to anne and yet i had injured her. the hurt is in the act of possession: we are too small in mind and body to possess another person without pride or to be possessed without humiliation. in a way i was glad that my wife had struck out at me again – i had forgotten her pain for too long, and this was the only kind of recompense i could give her. unfortunately the innocent are always involved in any conflict. always, everywhere, there is some voice crying from a tower.  | guilt, life, love, philosophy
people fall in love without reason, without even wanting to. you can't predict it. that's love. | love
love one another, but make not a bond of love: let it rather be a moving sea between the shores of your souls. fill each other's cup but drink not from one cup. give one another of your bread but eat not from the same loaf sing and dance together and be joyous, but let each one of you be alone, even as the strings of a lute are alone though they quiver with the same music. | bond, love, marriage, quiver, relationships, share
what lips my lips have kissed, and where, and why,i have forgotten, and what arms have lainunder my head till morning, but the rainis full of ghosts tonight, that tap and sighupon the glass and listen for reply,and in my heart there stirs a quiet painfor unremembered lads that not againwill turn to me at midnight with a cry.thus in the winter stands the lonely tree,nor knows what birds have vanished one by one,yet knows its boughs more silent than before:i cannot say what loves have come and gone,i only know that summer sang in mea little while, that in me sings no more. | love, poetry
as your lover describes you, so you are. | love, self-fulfilling-prophecy
stephen kissed me in the spring,robin in the fall,but colin only looked at meand never kissed at all.stephen’s kiss was lost in jest,robin’s lost in play,but the kiss in colin’s eyeshaunts me night and day. | kiss, love, memories, poetry
"in this whole screwed-up town, you're the only thing that's always been right to me,"" he whispered. ""i love you, claire."" she saw something that might have been just a flash of panic go across his expression, but then he steadied again. ""i can't believe i'm saying this, but i do. i love you. | fear, love"
he loved her, he loved her, and until he'd loved her she had never minded being alone.... | love
you put me through hell. on purpose. made me suffer. and there’s no end in sight. i don’t know what the fuck you’re doing, ace, but this dr. jekyll and mr. hyde shit ain’t cutting it with me. | breaking-up, breakup, eva-tramell, heartbroken, love, sylvia-day
so many believe that it is love that grows, but it is the knowing that grows and love simply expands to contain it. | knowing, love, relationships
plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. this is the law of nature. | abundance, action, choice, happiness, hope, inspirational, love, motivational, nature, success
when you have seen as much of life as i have, you will not underestimate the power of obsessive love. | infatuation, love, love-struck, obsession
when we love, we always strive to become better than we are. when we strive to become better than we are, everything around us becomes better too. | hope, inspiration, love, santiago
when is a monster not a monster? oh, when you love it. | fantasy, love, monster
i can't promise not to make you mad. i can't promise that i won't hurt you. all i can promise is that i want you in my life, and i'll do anything to keep you there. | hunter, love
nobody in my life has ever known me the way you do. nobody in my life has ever made me feel as good as you do. you know me, you know everything about me, and when you leave me, you're going to be leaving the real me, the me nobody else has ever seen, that's who you're going to be rejecting. | love
you may choose to look the other way but you can never say again that you did not know. | abolition, accomplish, christian, great-britain, heard, hope, inspirational, love, peace, slavery, truth, try
like some wines our love could neither mature nor travel. | breakup, love, romance
two words. three vowels. four constenants. seven letters. it can either cut you open to the core and leave you in ungodly pain or it can free your soul and lift a tremendous weight off you shoulders. the phrase is: it's over. | breaking-up, heartbreak, letters, love, words
"i'm afraid they're in love,"" he said, concerned. ""they don't want to leave you."" he lifted one hand from her waist to gently brush a pair from her neck, where their wings fanned against her jaw. melancholy, he said, ""i know just how they feel. | akiva, love, romance"
it is very difficult to live among people you love and hold back from offering them advice. | advice, love
the simple pathsilence is prayerprayer is faithfaith is lovelove is servicethe fruit of service is peace | faith, love, mother, path, peace, prayer, service, simple, teresa
in youth, it was a way i had,to do my best to please.and change, with every passing ladto suit his theories.but now i know the things i knowand do the things i do,and if you do not like me so,to hell, my love, with you. | adaptation, change, character, empowerment, love, men, nature, pleasing, self-discovery, self-esteem, self-respect, truthfulness, wisdom, women, youth
i am yours.don't give myself back to me. | love
the practice of love offers no place of safety. we risk loss, hurt, pain. we risk being acted upon by forces outside our control. | control, force, hurt, loss, love, pain, practice, risk, saftey, security
you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? she's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. so don't hurt her, don't change her, don't analyze and don't expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there. | love
moving on is easy. it's staying moved on that's trickier. | breaking-up, love, moving-on, relationships
i've been making a list of the things they don't teach you at school. they don't teach you how to love somebody. they don't teach you how to be famous. they don't teach you how to be rich or how to be poor. they don't teach you how to walk away from someone you don't love any longer. they don't teach you how to know what's going on in someone else's mind. they don't teach you what to say to someone who's dying. they don't teach you anything worth knowing. | dying, facts, fame, knowing, love, poverty, reality, school, teach, wealth
it is our wounds that create in us a desire to reach for miracles. the fulfillment of such miracles depends on whether we let our wounds pull us down or lift us up towards our dreams. | breakup, broken, broken-heart, broken-hearted, broken-hearted-quotes, dating, faith, healing, heartache, heartbreak, heartbroken, hope, hurt, hurt-feelings, hurting, hurting-heart, inspirational, life, life-lessons, love, romance
we always see our worst selves. our most vulnerable selves. we need someone else to get close enough to tell us we’re wrong. someone we trust. | friendship, love, reflection, trust
he will love only once - but it will be for always. | endless-love, love
oh, love isn't there to make us happy. i believe it exists to show us how much we can endure. | love
you can be in love and you can be in a relationship. but they’re not always the same thing. | being-in-love, love, relationship, relationships
we are the ones who take this thing called music and line it up with this thing called time. we are the ticking, we are the pulsing, we are underneath every part of this moment. and by making the moment our own, we are rendering it timeless. there is no audience. there are no instruments. there are only bodies and thoughts and murmurs and looks. it's the concert rush to end all concert rushes, because this is what matters. when the heart races, this is what it's racing towards. | love, music
my mother... she is beautiful, softened at the edges and tempered with a spine of steel. i want to grow old and be like her. | daughters, growing-up, love, mothers
"just for future reference, don't use words like ""love"" anymore. it's a very sensitive word and it wears out quickly. romeo barely says it, but john hinckley filled up a whole journal with it. to put it into your terms, it's a currency that's easily devalued. pretty soon you're saying it whenever you hang up the phone or whenever you leave. it turns into an apology. then it's an excuse. some assholes want it to be a bulletproof vest: don't hate me; i love you. but mostly it just means--more. more, more--give me something more. a couple of years from now, when you're on your own completely, if you really fall in love, if it really comes to that--and i pity you if it does--you have to look right down into the black of her eyes, right down into the emptiness in there and feel everything, absolutely everything she needs and you have to be willing to drown in it, kevin. you'd have to want to be crushed, buried alive. because that's what real love feels like--choking. they used to bury some women in their wedding dresses, you know. i thought it was because all those husbands were too cheap to spring for another gown, but now it makes sense: love is your first foot in the grave. that's why the second most abused word is ""forever"". | emptiness, forever, love"
we are what we pretend to be, so we must be careful about what we pretend to be. | action, attitude, choice, imagination, inspiration, life, pretend
when i saw you i fell in love, and you smiled because you knew. | love
love is being honest with yourself at all timesbeing honest with the other person at all timestelling, listening, respecting the truthand never pretendinglove is the source of reality | love
why, darling, i don't live at all when i'm not with you. | a-farewell-to-arms, ernest-hemingway, love
she puts her hands on either side of my face, and the room falls away. i have never gotten so lost in a kiss before. and then, the space between us explodes. my heart keeps missing beats and my hands cannot bring her close enough to me. i taste her and realize i have been starving. i have loved before, but it didn't feel like this.i have kissed before, but it didn't burn me alive. maybe it lasts a minute, and maybe it's an hour. all i know is that kiss, and how soft her skin is when it brushes against mine, and that even if i did not know it until now, i have been waiting for this person forever. | fiction, jodi-picoult, jodi-picoult-sing-you-home, kiss, lesbians, love, lovers, romance, sing-you-home
one love, one heart, one destiny. | bob-marley, compassion, destiny, heart, humanity, inspirational, love
"you dumb-ass,"" i crooned, kissing her on the forehead. ""you don't share me. you own me. | love, where-she-went"
"there is no pretending"",jace said with absolute clarity.""i love you,and i will love you until i die,and if there's a life after that,i'll love you then.""she caught her breath.he had said it-the words there was no going back from. | clary-fray, forbidden-love, i-love-you, jace-wayland, love, true-love"
there is no one i would rather see the sunrise with than you. | khalid, love, shahrzad
as the light begins to intensify, so does my misery, and i wonder how it is possible to hurt so much when nothing is wrong. | bhie, forbidden, hurt, lochan, love, tabitha-suzuma
how can i be reasonable? to me our love was everything and you were my whole life. it is not very pleasant to realize that to you it was only an episode. | affairs, breakup, life, love, women
i can never read all the books i want; i can never be all the people i want and live all the lives i want. i can never train myself in all the skills i want. and why do i want? i want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. and i am horribly limited. | books, life, limits
when i asked my da how ye knew which was the right woman, he told me when the time came, i'd have no doubt. and i didn't. when i woke in the dark under that tree on the road to leoch, with you sitting on my chest, cursing me for bleeding to death, i said to myself 'jamie fraser, for all ye canna see what she looks like, and for all she weights as much as a good draft horse, this is the woman. | humor, love
let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred. | communism, democracy, freedom, liberation, love, marxism, peace, radicalism, socialism, theology
god's definition of what matters is pretty straightforward. he measures our lives by how we love. | love, purpose
if pain must come, may it come quickly. because i have a life to live, and i need to live it in the best way possible. if he has to make a choice, may he make it now. then i will either wait for him or forget him. | forgetting, hope, love, pain, suffering, waiting
religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. and the invisible man has a special list of ten things he does not want you to do. and if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time!but he loves you. he loves you, and he needs money! he always needs money! he's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money! | atheism, humor, life, religion
i love you. you’re mine. i’ll kill any bastard who tries to take you from me. | confession, love, possessiveness
there comes a time in your life when you have to choose to turn the page, write another book or simply close it. | beliefs, books, boyfriend, choices, faith, family, friendships, girlfriend, hang-ups, in-love, life, love, marriage, memories, moving-on, nostalgia, obsessions, peace, relationships, religion, sister-in-laws, sisters, spouse, unrequited-love, wife, writing
i love to see a young girl go out and grab the world by the lapels. life's a bitch. you've got to go out and kick ass. | humor, inspirational, life
he does something to me, that boy. every time. it’s his only detriment. he steps on my heart. he makes me cry. | heartbreak, love, sad
i was glad i wasn't in love, that i wasn't happy with the world. i like being at odds with everything. people in love often become edgy, dangerous. they lose their sense of perspective. they lose their sense of humor. they become nervous, psychotic bores. they even become killers. | love
if you send out goodness from yourself, or if you share that which is happy or good within you, it will all come back to you multiplied ten thousand times. in the kingdom of love there is no competition; there is no possessiveness or control. the more love you give away, the more love you will have. | karma, love
love is our true destiny. we do not find the meaning of life by ourselves alone - we find it with another. | connection, destiny, fate, life, love, meaning
friends are the family you choose (~ nin/ithilnin, elven rogue). | cyberpunk, elven, elves, family, friends, friendship, human-behavior, human-nature, humanity, humankind, humans, inside-ourselves, insight, insightful, life, life-lessons, love, meaning, meaning-of-life, nq-mobile-omar-khan, omar-khan-nq-mobile, reflection, reflective, social-commentary, social-issues, social-science, society, truth, urban-fantasy, urban-fantasy-series, ya-urban-fantasy, young-adult, young-adult-fiction, young-adult-literature, young-adult-novels, young-adult-series
find what you love and let it kill you. | love
therefore, dear sir, love your solitude and try to sing out with the pain it causes you. for those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it. | aloneness, change, common-ground, faith, love, loved-ones, relationships, solitude
when a man finds the woman he really loves, the one he respects and wants to call wife, there is nothing on earth he won't do for her. no mountain he won't hike. no river he won't wade. no door he won't open. she is eve and there's not a snake crawling that can keep them apart. | admiration, adoration, love, romance
the artist always has the masters in his eyes. | ambition, art, artist, eyes, love, master, work
i want you to be weak. as weak as i am. | love
what is a friend if not someone you feel close to, someone you like being with, someone you can confide in and share pleasure with.-jeremy malory- | danny, friendship, jeremy-malory, love
happiness does not come from without, it comes from within | happiness, life, love
one loves truly only once in a lifetime, julian, even if one isn’t aware of it. | love
every time i think i'm missing a piece of me, you give it back. | clace, clary-fray, herondale, jace, love, shadowhunters
you'd be surprised what people will do for money that they wouldn't do forlove.myrnin. | love, money
she knew whose love she doubted. it wasn't her parents' and it wasn't her friends: it was her own.  | love
it ought to make us feel ashamed when we talk like we know what we're talking about when we talk about love. | love
there is never a time or place for true love. it happens accidentally, in a heartbeat, in a single flashing, throbbing moment. | love
it may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime... | fair, life
even if you cannot change all the people around you, you can change the people you choose to be around. life is too short to waste your time on people who don’t respect, appreciate, and value you. spend your life with people who make you smile, laugh, and feel loved. | appreciate, change, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, laugh, life, life-and-living, life-lessons, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, relationship, respect, smile, value
if you spend your time hoping someone will suffer the consequences for what they did to your heart, then you're allowing them to hurt you a second time in your mind. | anger, battles, betrayal, consequences, divorce, fights, hurt, judgement, justice, letting-go, love, low-self-esteem, moving-on, pain, relationships, revenge, self-worth, seperation, vindication
do you know how many ways love can hit you? so it makes you happy, or miserable? it makes you sick in the belly or hurt in the heart. it makes everything brighter and sharper, or it blurs all the edges. it makes you feel like a king or a fool. every way love can hit you, it's hit me when it comes to you | love, romance
the wounded child inside many males is a boy who, when he first spoke his truths, was silenced by paternal sadism, by a patriarchal world that did not want him to claim his true feelings. the wounded child inside many females is a girl who was taught from early childhood that she must become something other than herself, deny her true feelings, in order to attract and please others. when men and women punish each other for truth telling, we reinforce the notion that lies are better. to be loving we willingly hear the other’s truth, and most important, we affirm the value of truth telling. lies may make people feel better, but they do not help them to know love. | gender-roles, gender-stereotypes, love, relationships, truth
she didn't need to understand the meaning of life; it was enough to find someone who did, and then fall asleep in his arms and sleep as a child sleeps, knowing that someone stronger than you is protecting you from all evil and all danger | love, protection, support
then he made one last effort to search in his heart for the place where his affection had rotted away, and he could not find it. | heart, love
don’t marry him. don’t be with him. be with me. | love
i wish you to know that you have been the last dream of my soul. | dreams, finality, love, soul
in time, the hurt began to fade and it was easier to just let it go. at least i thought it was. but in every boy i met in the next few years, i found myself looking for you, and when the feelings got too strong, i'd write you another letter. but i never sent them for fear of what i might find. by then, you'd gone on with your life and i didn't want to think about you loving someone else. i wanted to remember us like we were that summer. i didn't ever want to lose that. | love
love is like quicksilver in the hand. leave the fingers open and it stays. clutch it and it darts away. | love
i'm yours for ever--for ever and ever. here i stand; i'm as firm as a rock. if you'll only trust me, how little you'll be disappointed. be mine as i am yours. | love
infatuation is not quite the same thing as love it's more like love's shady second cousin who's always borrowing money and can't hold down a job.  | infatuation, love
do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. the world you desire can be won. it exists.. it is real.. it is possible.. it's yours. | inspirational, life
then she was kissing him as she had never kissed him before...and it was blissful oblivion, better than firewhisky; she was the only real thing in the world. | cute, kiss, kissing, love, lovers
say it,” i gritted out.“the high lord of the night court is your mate. | fey, feyrhys, feysand, love, mates, rhysand, spoilers, the-suriel
she held up her calloused, grimy fingers. leo couldn't help thinking there was nothing hotter than a girl who didn't mind getting her hands dirty. but of course, that was just a general comment. didn't apply to calypso. obviously. | calypso, funny, humor, leo-valdez, love
and i, infinitesima­l being, drunk with the great starry void, likeness, image of mystery, i felt myself a pure part of the abyss, i wheeled with the stars, my heart broke loose on the wind. | love
"you two are too cute,” the counter girl said, setting two cups piled with whipped cream on the counter. she had a sort of lopsided, open smile that made me think she laughed a lot. “seriously. how long have you been going out?”sam let go of my hands to get his wallet and took out some bills. “six years.”i wrinkled my nose to cover a laugh. of course he would count the time that we’d been two entirely different species.whoa.” counter girl nodded appreciatively. “that’s pretty amazing for a couple your age.""sam handed me my hot chocolate and didn’t answer. but his yellow eyes gazed at me possessively—i wondered if he realized that the way he looked at me was far more intimate than copping a feel could ever be.i crouched to look at the almond bark on the bottom shelf in the counter. i wasn’t quite bold enough to look at either of them when i admitted, “well, it was love at first sight.”the girl sighed. “that is just so romantic. do me a favor, and don’t you two ever change. the world needs more love at first sight. | first, love, romantic, sight"
anyone lived in a pretty how town(with up so floating many bells down)spring summer autumn winterhe sang his didn't he danced his didwomen and men(both little and small)cared for anyone not at allthey sowed their isn't they reaped their samesun moon stars rainchildren guessed(but only a fewand down they forgot as up they grewautumn winter spring summer)that noone loved him more by morewhen by now and tree by leafshe laughed his joy she cried his griefbird by snow and stir by stillanyone's any was all to hersomeones married their everyoneslaughed their cryings and did their dance(sleep wake hope and then)theysaid their nevers they slept their dreamstars rain sun moon(and only the snow can begin to explainhow children are apt to forget to rememberwith up so floating many bells down)one day anyone died i guess(and noone stooped to kiss his face)busy folk buried them side by sidelittle by little and was by wasall by all and deep by deepand more by more they dream their sleepnoone and anyone earth by aprilwish by spirit and if by yes.women and men (both dong and ding)summer autumn winter springreaped their sowing and went their camesun moon stars rain | love
life is pain, highness. anyone who says differently is selling something. | life, pain
"he could totally be your boyfriend,"" [angel] went on with annoying persistance. ""you guys could get married. i could be like a junior bridesmaid. total could be your flower dog.""""i'm only a kid!"" i shrieked. ""i can't get married!""""you could in new hampshire."" | angel, fang, humor, love, marriage, max, maxride, relationships"
as unto the bow the the cord is ,so unto the man is woman;though she bends him, she obeys him,though she draws him , yet she follows:useless each without the other. | love, man, marriage, poetry, woman
those whom we most love are often the most alien to us. | closeness, family, love
i half closed my eyes and imagined this was the spot where everything i'd ever lost since my childhood had washed up, and i was now standing here in front of it, and if i waited long enough, a tiny figure would appear on the horizon across the field and gradually get larger until i'd see it was tommy, and he'd wave, and maybe even call. | lost, love, norfolk
wisdom is knowing i am nothing,love is knowing i am everything,and between the two my life moves. | life, love, wisdom
my nails dug into his back, and he trailed his lips down the edge of my chin, down the center of my neck. he kept going until he reached the bottom of the dress’s v-neck. i let out a small gasp, and he kissed all around the neckline, just enough to tease. | adorable, adrian-ivashkov, bloodlines, couple, dress, kissing, love, richelle-mead, sexy, sydney-sage, sydrian, the-indigo-spell
